date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:54	109/109	---M--	200	added ('OK')	text/plain	date:Wed,%2020%20Nov%202024%2017:15:53%20GMT	http://localhost/robots.txt		(from )
18:15:59	109605/109605	---MC-	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2017:15:53%20GMT	http://localhost/	C:/My%20Web%20Sites/testy/localhost/index.html	(from )
18:15:59	16534/16534	---M--	200	added ('OK')	text/css	etag:%224096-60647d7216a80%22	http://localhost/wp-includes/blocks/navigation/style.min.css?ver=6.4.3	C:/My%20Web%20Sites/testy/localhost/wp-includes/blocks/navigation/style.min84fc.css	(from http://localhost/)
18:15:59	18487/18487	---M--	200	added ('OK')	text/css	etag:%224837-60fb5b4423900%22	http://localhost/wp-includes/blocks/cover/style.min.css?ver=6.4.3	C:/My%20Web%20Sites/testy/localhost/wp-includes/blocks/cover/style.min84fc.css	(from http://localhost/)
18:15:59	4904/4904	---M--	200	added ('OK')	text/css	etag:%221328-6271ef29ed367%22	http://localhost/wp-content/themes/variations/assets/css/editor-frontend.css?ver=4.3.2	C:/My%20Web%20Sites/testy/localhost/wp-content/themes/variations/assets/css/editor-frontend274c.css	(from http://localhost/)
18:16:00	3539/3539	---M--	200	added ('OK')	text/css	etag:%22dd3-6271ef29ed367%22	http://localhost/wp-content/themes/variations/assets/css/frontend.css?ver=4.3.2	C:/My%20Web%20Sites/testy/localhost/wp-content/themes/variations/assets/css/frontend274c.css	(from http://localhost/)
18:16:02	1745/1745	---M--	200	added ('OK')	application/rss+xml	etag:%226400ca4e359cbd3382a1dcfe72dac96c%22	http://localhost/index.php/feed/	C:/My%20Web%20Sites/testy/localhost/index.php/feed/index.html	(from http://localhost/)
18:16:02	32378/32378	---M--	200	added ('OK')	text/javascript	etag:%227e7a-60fb5b4423900%22	http://localhost/wp-includes/js/dist/interactivity.min.js?ver=6.4.3	C:/My%20Web%20Sites/testy/localhost/wp-includes/js/dist/interactivity.min84fc.js	(from http://localhost/)
18:16:02	3586/3586	---M--	200	added ('OK')	text/javascript	etag:%22e02-60866a4183440%22	http://localhost/wp-includes/blocks/navigation/view.min.js?ver=e3d6f3216904b5b42831	C:/My%20Web%20Sites/testy/localhost/wp-includes/blocks/navigation/view.minff1e.js	(from http://localhost/)
18:16:03	1860/1860	---M--	200	added ('OK')	application/rss+xml	etag:%226400ca4e359cbd3382a1dcfe72dac96c%22	http://localhost/index.php/comments/feed/	C:/My%20Web%20Sites/testy/localhost/index.php/comments/feed/index.html	(from http://localhost/)
18:16:04	13577/13577	---M--	200	added ('OK')	text/javascript	etag:%223509-5fdabee5f2100%22	http://localhost/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/testy/localhost/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://localhost/)
18:16:09	87553/87553	---M--	200	added ('OK')	text/javascript	etag:%2215601-603fed35e19c0%22	http://localhost/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/testy/localhost/wp-includes/js/jquery/jquery.minf43b.js	(from http://localhost/)
18:16:09	772/772	---M--	200	added ('OK')	text/xml	date:Wed,%2020%20Nov%202024%2017:16:06%20GMT	http://localhost/xmlrpc.php?rsd	C:/My%20Web%20Sites/testy/localhost/xmlrpc0db0.php	(from http://localhost/)
18:16:10	37898/37898	---MC-	200	added ('OK')	application/json	date:Wed,%2020%20Nov%202024%2017:16:03%20GMT	http://localhost/index.php/wp-json/wp/v2/pages/35	C:/My%20Web%20Sites/testy/localhost/index.php/wp-json/wp/v2/pages/35.json	(from http://localhost/)
18:16:12	2000/2000	---M--	200	added ('OK')	application/json	date:Wed,%2020%20Nov%202024%2017:16:09%20GMT	http://localhost/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2F	C:/My%20Web%20Sites/testy/localhost/index.php/wp-json/oembed/1.0/embed1408.json	(from http://localhost/)
18:16:15	2159/2159	---M--	200	added ('OK')	text/xml	date:Wed,%2020%20Nov%202024%2017:16:12%20GMT	http://localhost/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2F&format=xml	C:/My%20Web%20Sites/testy/localhost/index.php/wp-json/oembed/1.0/embed7e56	(from http://localhost/)
18:16:25	65500/65500	---M--	200	added ('OK')	font/woff2	etag:%22ffdc-6271ef29f4d79%22	http://localhost/wp-content/themes/variations/assets/fonts/work-sans/work-sans.woff2	C:/My%20Web%20Sites/testy/localhost/wp-content/themes/variations/assets/fonts/work-sans/work-sans.woff2	(from http://localhost/)
